"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"845365036","712","5393","7700","410075610085000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","75-84",
"832461714","546","5393","7700","410085799999000","97","19","2011","08","2011-W08","2011-02-21","2011-02-27","85 a více",
"832462242","2298","5393",,,"97","19","2011","08","2011-W08","2011-02-21","2011-02-27","celkem",
"832459799","5","5393","7700","400000610015000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","0-14",
"832460280","49","5393","7700","410015610040000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","15-39",
"832460761","504","5393","7700","410040610065000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","40-64",
"845364532","433","5393","7700","410065610075000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","65-74",
"845365046","713","5393","7700","410075610085000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","75-84",
"832461723","551","5393","7700","410085799999000","97","19","2011","09","2011-W09","2011-02-28","2011-03-06","85 a více",
"832462391","2255","5393",,,"97","19","2011","09","2011-W09","2011-02-28","2011-03-06","celkem",
"832459809","4","5393","7700","400000610015000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","0-14",
"832460290","51","5393","7700","410015610040000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","15-39",
"832460771","415","5393","7700","410040610065000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","40-64",
"845364542","457","5393","7700","410065610075000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","65-74",
"845365057","684","5393","7700","410075610085000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","75-84",
"832461733","601","5393","7700","410085799999000","97","19","2011","10","2011-W10","2011-03-07","2011-03-13","85 a více",
"832462413","2212","5393",,,"97","19","2011","10","2011-W10","2011-03-07","2011-03-13","celkem",
"832459819","12","5393","7700","400000610015000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","0-14",
"832460300","55","5393","7700","410015610040000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","15-39",
"832460781","485","5393","7700","410040610065000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","40-64",
"845364552","432","5393","7700","410065610075000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","65-74",
"845365066","732","5393","7700","410075610085000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","75-84",
"832461743","570","5393","7700","410085799999000","97","19","2011","11","2011-W11","2011-03-14","2011-03-20","85 a více",
"832462127","2286","5393",,,"97","19","2011","11","2011-W11","2011-03-14","2011-03-20","celkem",
"832459829","12","5393","7700","400000610015000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","0-14",
"832460310","40","5393","7700","410015610040000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","15-39",
"832460791","460","5393","7700","410040610065000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","40-64",
"845364562","407","5393","7700","410065610075000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","65-74",
"845365076","644","5393","7700","410075610085000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","75-84",
"832461753","517","5393","7700","410085799999000","97","19","2011","12","2011-W12","2011-03-21","2011-03-27","85 a více",
"832462334","2080","5393",,,"97","19","2011","12","2011-W12","2011-03-21","2011-03-27","celkem",
"832459839","8","5393","7700","400000610015000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","0-14",
"832460320","44","5393","7700","410015610040000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","15-39",
"832460802","399","5393","7700","410040610065000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","40-64",
"845364572","423","5393","7700","410065610075000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","65-74",
"845365086","705","5393","7700","410075610085000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","75-84",
"832461763","517","5393","7700","410085799999000","97","19","2011","13","2011-W13","2011-03-28","2011-04-03","85 a více",
"832462471","2096","5393",,,"97","19","2011","13","2011-W13","2011-03-28","2011-04-03","celkem",
"832459848","9","5393","7700","400000610015000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","0-14",
"832460329","36","5393","7700","410015610040000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","15-39",
"832460810","396","5393","7700","410040610065000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","40-64",
"845364582","417","5393","7700","410065610075000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","65-74",
"845365096","664","5393","7700","410075610085000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","75-84",
"832461772","538","5393","7700","410085799999000","97","19","2011","14","2011-W14","2011-04-04","2011-04-10","85 a více",
"832462387","2060","5393",,,"97","19","2011","14","2011-W14","2011-04-04","2011-04-10","celkem",
"832459857","7","5393","7700","400000610015000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","0-14",
"832460338","36","5393","7700","410015610040000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","15-39",
"832460819","416","5393","7700","410040610065000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","40-64",
"845364592","404","5393","7700","410065610075000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","65-74",
"845365106","668","5393","7700","410075610085000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","75-84",
"832461781","493","5393","7700","410085799999000","97","19","2011","15","2011-W15","2011-04-11","2011-04-17","85 a více",
"832462219","2024","5393",,,"97","19","2011","15","2011-W15","2011-04-11","2011-04-17","celkem",
"832459866","11","5393","7700","400000610015000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","0-14",
"832460347","50","5393","7700","410015610040000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","15-39",
"832460828","478","5393","7700","410040610065000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","40-64",
"845364602","419","5393","7700","410065610075000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","65-74",
"845365117","668","5393","7700","410075610085000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","75-84",
"832461790","524","5393","7700","410085799999000","97","19","2011","16","2011-W16","2011-04-18","2011-04-24","85 a více",
"832462292","2150","5393",,,"97","19","2011","16","2011-W16","2011-04-18","2011-04-24","celkem",
"832459875","5","5393","7700","400000610015000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","0-14",
"832460356","48","5393","7700","410015610040000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","15-39",
"832460837","365","5393","7700","410040610065000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","40-64",
"845364612","429","5393","7700","410065610075000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","65-74",
"845365126","630","5393","7700","410075610085000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","75-84",
"832461799","480","5393","7700","410085799999000","97","19","2011","17","2011-W17","2011-04-25","2011-05-01","85 a více",
"832462209","1957","5393",,,"97","19","2011","17","2011-W17","2011-04-25","2011-05-01","celkem",
"832459884","8","5393","7700","400000610015000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","0-14",
"832460365","36","5393","7700","410015610040000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","15-39",
"832460846","373","5393","7700","410040610065000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","40-64",
"845364622","410","5393","7700","410065610075000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","65-74",
"845365136","609","5393","7700","410075610085000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","75-84",
"832461808","511","5393","7700","410085799999000","97","19","2011","18","2011-W18","2011-05-02","2011-05-08","85 a více",
"832462386","1947","5393",,,"97","19","2011","18","2011-W18","2011-05-02","2011-05-08","celkem",
"832459893","10","5393","7700","400000610015000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","0-14",
"832460375","40","5393","7700","410015610040000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","15-39",
"832460855","396","5393","7700","410040610065000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","40-64",
"845364632","416","5393","7700","410065610075000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","65-74",
"845365146","640","5393","7700","410075610085000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","75-84",
"832461817","507","5393","7700","410085799999000","97","19","2011","19","2011-W19","2011-05-09","2011-05-15","85 a více",
"832462409","2009","5393",,,"97","19","2011","19","2011-W19","2011-05-09","2011-05-15","celkem",
"832459902","5","5393","7700","400000610015000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","0-14",
"832460383","36","5393","7700","410015610040000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","15-39",
"832460861","397","5393","7700","410040610065000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","40-64",
"845364642","390","5393","7700","410065610075000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","65-74",
"845365156","642","5393","7700","410075610085000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","75-84",
"832461826","487","5393","7700","410085799999000","97","19","2011","20","2011-W20","2011-05-16","2011-05-22","85 a více",
"832462271","1957","5393",,,"97","19","2011","20","2011-W20","2011-05-16","2011-05-22","celkem",
"832459911","4","5393","7700","400000610015000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","0-14",
"832460392","52","5393","7700","410015610040000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","15-39",
"832460873","373","5393","7700","410040610065000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","40-64",
"845364652","378","5393","7700","410065610075000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","65-74",
"845365166","586","5393","7700","410075610085000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","75-84",
"832461837","499","5393","7700","410085799999000","97","19","2011","21","2011-W21","2011-05-23","2011-05-29","85 a více",
"832462534","1892","5393",,,"97","19","2011","21","2011-W21","2011-05-23","2011-05-29","celkem",
"832459920","17","5393","7700","400000610015000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","0-14",
"832460401","52","5393","7700","410015610040000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","15-39",
"832460882","403","5393","7700","410040610065000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","40-64",
"845364662","358","5393","7700","410065610075000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","65-74",
"845365177","607","5393","7700","410075610085000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","75-84",
"832461844","483","5393","7700","410085799999000","97","19","2011","22","2011-W22","2011-05-30","2011-06-05","85 a více",
"832462562","1920","5393",,,"97","19","2011","22","2011-W22","2011-05-30","2011-06-05","celkem",
"832459929","11","5393","7700","400000610015000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","0-14",
"832460410","41","5393","7700","410015610040000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","15-39",
"832460891","408","5393","7700","410040610065000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","40-64",
"845364672","369","5393","7700","410065610075000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","65-74",
"845365186","601","5393","7700","410075610085000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","75-84",
"832461853","501","5393","7700","410085799999000","97","19","2011","23","2011-W23","2011-06-06","2011-06-12","85 a více",
"832462604","1931","5393",,,"97","19","2011","23","2011-W23","2011-06-06","2011-06-12","celkem",
"832459938","4","5393","7700","400000610015000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","0-14",
"832460419","36","5393","7700","410015610040000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","15-39",
"832460900","428","5393","7700","410040610065000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","40-64",
"845364682","367","5393","7700","410065610075000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","65-74",
"845365196","582","5393","7700","410075610085000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","75-84",
"832461862","461","5393","7700","410085799999000","97","19","2011","24","2011-W24","2011-06-13","2011-06-19","85 a více",
"832462177","1878","5393",,,"97","19","2011","24","2011-W24","2011-06-13","2011-06-19","celkem",
"832459948","7","5393","7700","400000610015000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","0-14",
"832460428","48","5393","7700","410015610040000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","15-39",
"832460909","405","5393","7700","410040610065000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","40-64",
"845364692","371","5393","7700","410065610075000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","65-74",
"845365206","581","5393","7700","410075610085000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","75-84",
"832461871","456","5393","7700","410085799999000","97","19","2011","25","2011-W25","2011-06-20","2011-06-26","85 a více",
"832462164","1868","5393",,,"97","19","2011","25","2011-W25","2011-06-20","2011-06-26","celkem",
"832459956","11","5393","7700","400000610015000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","0-14",
"832460437","65","5393","7700","410015610040000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","15-39",
"832460918","385","5393","7700","410040610065000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","40-64",
"845364702","404","5393","7700","410065610075000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","65-74",
"845365216","633","5393","7700","410075610085000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","75-84",
"832461880","438","5393","7700","410085799999000","97","19","2011","26","2011-W26","2011-06-27","2011-07-03","85 a více",
"832462252","1936","5393",,,"97","19","2011","26","2011-W26","2011-06-27","2011-07-03","celkem",
"832459965","9","5393","7700","400000610015000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","0-14",
"832460446","58","5393","7700","410015610040000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","15-39",
"832460927","419","5393","7700","410040610065000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","40-64",
"845364712","399","5393","7700","410065610075000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","65-74",
"845365226","614","5393","7700","410075610085000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","75-84",
"832461889","449","5393","7700","410085799999000","97","19","2011","27","2011-W27","2011-07-04","2011-07-10","85 a více",
"832462597","1948","5393",,,"97","19","2011","27","2011-W27","2011-07-04","2011-07-10","celkem",
"832459974","14","5393","7700","400000610015000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","0-14",
"832460455","64","5393","7700","410015610040000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","15-39",
"832460936","392","5393","7700","410040610065000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","40-64",
"845364722","405","5393","7700","410065610075000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","65-74",
"845365237","655","5393","7700","410075610085000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","75-84",
"832461899","503","5393","7700","410085799999000","97","19","2011","28","2011-W28","2011-07-11","2011-07-17","85 a více",
"832462289","2033","5393",,,"97","19","2011","28","2011-W28","2011-07-11","2011-07-17","celkem",
"832459983","8","5393","7700","400000610015000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","0-14",
"832460464","46","5393","7700","410015610040000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","15-39",
"832460945","370","5393","7700","410040610065000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","40-64",
"845364732","379","5393","7700","410065610075000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","65-74",
"845365246","562","5393","7700","410075610085000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","75-84",
"832461907","494","5393","7700","410085799999000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","85 a více",
"832462333","1859","5393",,,"97","19","2011","29","2011-W29","2011-07-18","2011-07-24","celkem",
"832459992","9","5393","7700","400000610015000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","0-14",
"832460473","47","5393","7700","410015610040000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","15-39",
"832460954","410","5393","7700","410040610065000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","40-64",
"845364742","395","5393","7700","410065610075000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","65-74",
"845365256","589","5393","7700","410075610085000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","75-84",
"832461916","441","5393","7700","410085799999000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","85 a více",
"832462296","1891","5393",,,"97","19","2011","30","2011-W30","2011-07-25","2011-07-31","celkem",
"832460001","7","5393","7700","400000610015000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","0-14",
"832460482","45","5393","7700","410015610040000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","15-39",
"832460963","398","5393","7700","410040610065000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","40-64",
"845364749","413","5393","7700","410065610075000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","65-74",
"845365266","633","5393","7700","410075610085000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","75-84",
"832461925","525","5393","7700","410085799999000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","85 a více",
"832462521","2021","5393",,,"97","19","2011","31","2011-W31","2011-08-01","2011-08-07","celkem",
"832460007","5","5393","7700","400000610015000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","0-14",
"832460491","56","5393","7700","410015610040000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","15-39",
"832460972","382","5393","7700","410040610065000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","40-64",
"845364762","378","5393","7700","410065610075000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","65-74",
"845365276","588","5393","7700","410075610085000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","75-84",
"832461934","429","5393","7700","410085799999000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","85 a více",
"832462411","1838","5393",,,"97","19","2011","32","2011-W32","2011-08-08","2011-08-14","celkem",
"832460019","9","5393","7700","400000610015000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","0-14",
"832460500","47","5393","7700","410015610040000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","15-39",
"832460981","393","5393","7700","410040610065000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","40-64",
"845364772","382","5393","7700","410065610075000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","65-74",
"845365286","604","5393","7700","410075610085000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","75-84",
"832461943","498","5393","7700","410085799999000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","85 a více",
"832462236","1933","5393",,,"97","19","2011","33","2011-W33","2011-08-15","2011-08-21","celkem",
"832460028","10","5393","7700","400000610015000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","0-14",
"832460509","60","5393","7700","410015610040000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","15-39",
"832460990","417","5393","7700","410040610065000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","40-64",
"845364782","424","5393","7700","410065610075000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","65-74",
"845365296","623","5393","7700","410075610085000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","75-84",
"832461952","544","5393","7700","410085799999000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","85 a více",
"832462492","2078","5393",,,"97","19","2011","34","2011-W34","2011-08-22","2011-08-28","celkem",
"832460037","18","5393","7700","400000610015000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","0-14",
"832460518","43","5393","7700","410015610040000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","15-39",
"832460999","345","5393","7700","410040610065000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","40-64",
"845364792","398","5393","7700","410065610075000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","65-74",
"845365306","565","5393","7700","410075610085000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","75-84",
"832461958","450","5393","7700","410085799999000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","85 a více",
"832462532","1819","5393",,,"97","19","2011","35","2011-W35","2011-08-29","2011-09-04","celkem",
"832460046","11","5393","7700","400000610015000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","0-14",
"832460527","47","5393","7700","410015610040000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","15-39",
"832461008","360","5393","7700","410040610065000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","40-64",
"845364802","404","5393","7700","410065610075000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","65-74",
"845365316","619","5393","7700","410075610085000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","75-84",
"832461970","464","5393","7700","410085799999000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","85 a více",
"832462394","1905","5393",,,"97","19","2011","36","2011-W36","2011-09-05","2011-09-11","celkem",
"832460055","10","5393","7700","400000610015000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","0-14",
"832460536","58","5393","7700","410015610040000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","15-39",
"832461017","393","5393","7700","410040610065000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","40-64",
"845364813","400","5393","7700","410065610075000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","65-74",
"845365326","610","5393","7700","410075610085000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","75-84",
"832461979","467","5393","7700","410085799999000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","85 a více",
"832462168","1938","5393",,,"97","19","2011","37","2011-W37","2011-09-12","2011-09-18","celkem",
"832460064","6","5393","7700","400000610015000","97","19","2011","38","2011-W38","2011-09-19","2011-09-25","0-14",
"832460545","48","5393","7700","410015610040000","97","19","2011","38","2011-W38","2011-09-19","2011-09-25","15-39",
"832461026","388","5393","7700","410040610065000","97","19","2011","38","2011-W38","2011-09-19","2011-09-25","40-64",
"845364822","424","5393","7700","410065610075000","97","19","2011","38","2011-W38","2011-09-19","2011-09-25","65-74",
